home_elo,away_elo,elo_diff,home_form_5,away_form_5,form_diff,h2h_matches,h2h_home_win_rate,h2h_avg_goals_home,h2h_avg_goals_away,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goal_diff,away_goal_diff,league_strength,home_win_odds,away_win_odds,implied_home,implied_away,market_margin,draw_odds,implied_draw,result,match_id,match_date
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,3.49,2.09,0.28653295128939826,0.47846889952153115,0.0352721210811997,3.7,0.27027027027027023,home_win,fd_Bundesliga_Hoffenheim_RB Leipzig_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.19,13.4,0.8403361344537815,0.07462686567164178,0.03887873742406023,8.07,0.12391573729863692,home_win,fd_Bundesliga_Leverkusen_Heidenheim_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.33,7.44,0.7518796992481203,0.13440860215053763,0.04654471165506813,6.24,0.16025641025641024,home_win,fd_Bundesliga_Stuttgart_Bochum_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.37,3.27,0.42194092827004215,0.3058103975535168,0.03262937460404669,3.28,0.3048780487804878,home_win,fd_Bundesliga_Wolfsburg_Union Berlin_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.71,4.59,0.5847953216374269,0.2178649237472767,0.03850930198847724,4.24,0.23584905660377356,home_win,fd_Bundesliga_Ein Frankfurt_Werder Bremen_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.31,3.17,0.4329004329004329,0.31545741324921134,0.03244875524055346,3.52,0.2840909090909091,away_win,fd_Ligue 1_Lens_Marseille_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.38,3.11,0.42016806722689076,0.3215434083601286,0.032409150005624054,3.44,0.29069767441860467,home_win,fd_Ligue 1_St Etienne_Montpellier_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.86,2.39,0.3496503496503497,0.41841004184100417,0.033312380881274306,3.77,0.26525198938992045,draw,fd_Ligue 1_Reims_Lyon_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,10.83,1.28,0.09233610341643582,0.78125,0.0462976750917381,5.79,0.17271157167530224,away_win,fd_Premier League_Southampton_Liverpool_20241124,2024-11-24T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,5.24,1.64,0.19083969465648853,0.6097560975609756,0.035889909864522895,4.25,0.23529411764705882,draw,fd_Premier League_Ipswich_Man United_20241124,2024-11-24T00:00:00
